광역,지역명,광역_지역명,구분,사업명,연도,온실가스 감축량(톤),예산(백만원),,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,수소버스 구입지원,2030,1492,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,수소버스 구입지원,2034,7387,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,수소버스 보급,2025,73,600,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,수소버스 보급,2026,146,600,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,수소버스 보급,2027,218,600,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,수소버스 보급,2028,291,600,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,수소버스 보급,2029,364,600,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,수소버스 보급,2030,437,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,수소버스 보급,2034,2475,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,수소자동차 보급,2025,55,650,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,수소자동차 보급,2026,73,650,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,수소자동차 보급,2027,91,650,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,수소자동차 보급,2028,110,650,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,수소자동차 보급,2029,128,650,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,수소자동차 보급,2030,147,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,수소자동차 보급,2034,772,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,어린이 통학차량 lpg차 전환 지원,2025,9,18,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,어린이 통학차량 lpg차 전환 지원,2026,10,15,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,어린이 통학차량 lpg차 전환 지원,2027,10,15,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,어린이 통학차량 lpg차 전환 지원,2028,11,15,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,어린이 통학차량 lpg차 전환 지원,2029,12,15,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,어린이 통학차량 lpg차 전환 지원,2030,12,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,어린이 통학차량 lpg차 전환 지원,2034,56,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,전기버스 구입지원,2025,2195,2225,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,전기버스 구입지원,2026,2458,534,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,전기버스 구입지원,2027,3072,1246,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,전기버스 구입지원,2028,4213,2314,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,전기버스 구입지원,2029,4477,534,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,전기버스 구입지원,2030,5091,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,전기버스 구입지원,2034,23525,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,전기버스 보급,2025,1975,1344,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,전기버스 보급,2026,2677,1344,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,전기버스 보급,2027,3380,1344,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,전기버스 보급,2028,4082,1344,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,전기버스 보급,2029,4784,1344,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,전기버스 보급,2030,5486,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,전기버스 보급,2034,28967,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,전기승용차 보급,2025,2029,6000,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,전기승용차 보급,2026,2611,6000,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,전기승용차 보급,2027,3193,6000,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,전기승용차 보급,2028,3775,6000,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,전기승용차 보급,2029,4357,6000,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,전기승용차 보급,2030,4939,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,전기승용차 보급,2034,25577,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,전기이륜차 보급,2025,190,160,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,전기이륜차 보급,2026,261,160,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,전기이륜차 보급,2027,333,160,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,전기이륜차 보급,2028,404,160,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,전기이륜차 보급,2029,476,160,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,전기이륜차 보급,2030,547,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,전기이륜차 보급,2034,2905,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,전기화물차 보급,2025,2603,5610,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,전기화물차 보급,2026,3314,5610,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,전기화물차 보급,2027,4026,5610,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,전기화물차 보급,2028,4737,5610,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,전기화물차 보급,2029,5448,5610,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,전기화물차 보급,2030,6159,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,전기화물차 보급,2034,31748,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,탄소중립포인트제(자동차) 운영,2025,114,41,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,탄소중립포인트제(자동차) 운영,2026,114,41,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,탄소중립포인트제(자동차) 운영,2027,114,41,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,탄소중립포인트제(자동차) 운영,2028,114,41,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,탄소중립포인트제(자동차) 운영,2029,114,41,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,탄소중립포인트제(자동차) 운영,2030,114,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,탄소중립포인트제(자동차) 운영,2034,457,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,전환,신재생에너지 건물지원사업,2025,679,246,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,전환,신재생에너지 건물지원사업,2026,906,246,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,전환,신재생에너지 건물지원사업,2027,1132,246,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,전환,신재생에너지 건물지원사업,2028,1359,246,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,전환,신재생에너지 건물지원사업,2029,1585,246,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,전환,신재생에너지 건물지원사업,2030,1812,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,전환,신재생에너지 건물지원사업,2034,9511,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,전환,신재생에너지 융복합지원사업(지열),2025,83,1988,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,전환,신재생에너지 융복합지원사업(지열),2026,124,1988,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,전환,신재생에너지 융복합지원사업(지열),2027,165,1988,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,전환,신재생에너지 융복합지원사업(지열),2028,207,1988,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,전환,신재생에너지 융복합지원사업(지열),2029,248,1988,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,전환,신재생에너지 융복합지원사업(지열),2030,289,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,전환,신재생에너지 융복합지원사업(지열),2034,1569,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,전환,신재생에너지 융복합지원사업(태양광),2025,408,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,전환,신재생에너지 융복합지원사업(태양광),2026,611,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,전환,신재생에너지 융복합지원사업(태양광),2027,815,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,전환,신재생에너지 융복합지원사업(태양광),2028,1019,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,전환,신재생에너지 융복합지원사업(태양광),2029,1223,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,전환,신재생에너지 융복합지원사업(태양광),2030,1427,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,전환,신재생에너지 융복합지원사업(태양광),2034,7745,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,전환,신재생에너지 융복합지원사업(태양열),2025,114,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,전환,신재생에너지 융복합지원사업(태양열),2026,171,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,전환,신재생에너지 융복합지원사업(태양열),2027,228,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,전환,신재생에너지 융복합지원사업(태양열),2028,285,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,전환,신재생에너지 융복합지원사업(태양열),2029,342,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,전환,신재생에너지 융복합지원사업(태양열),2030,399,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,전환,신재생에너지 융복합지원사업(태양열),2034,2166,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,전환,신재생에너지 주택지원사업,2025,544,198,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,전환,신재생에너지 주택지원사업,2026,679,198,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,전환,신재생에너지 주택지원사업,2027,815,198,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,전환,신재생에너지 주택지원사업,2028,951,198,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,전환,신재생에너지 주택지원사업,2029,1087,198,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,전환,신재생에너지 주택지원사업,2030,1223,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,전환,신재생에너지 주택지원사업,2034,6250,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,폐기물,경산형 클린하우스 설치사업,2025,0,200,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,폐기물,경산형 클린하우스 설치사업,2026,0,120,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,폐기물,경산형 클린하우스 설치사업,2027,0,120,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,폐기물,경산형 클린하우스 설치사업,2028,0,120,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,폐기물,경산형 클린하우스 설치사업,2029,0,120,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,폐기물,경산형 클린하우스 설치사업,2030,0,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,폐기물,경산형 클린하우스 설치사업,2034,0,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,폐기물,소각여열 회수 및 이용 사업,2025,0,19275,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,폐기물,소각여열 회수 및 이용 사업,2026,1798,1390,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,폐기물,소각여열 회수 및 이용 사업,2027,1798,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,폐기물,소각여열 회수 및 이용 사업,2028,1798,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,폐기물,소각여열 회수 및 이용 사업,2029,1798,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,폐기물,소각여열 회수 및 이용 사업,2030,1798,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,폐기물,소각여열 회수 및 이용 사업,2034,7190,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,폐기물,음식물류 폐기물 감량기기 설치사업,2025,15,50,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,폐기물,음식물류 폐기물 감량기기 설치사업,2026,30,50,,,,,,,,,,,,,,,,,
