광역,지역명,광역_지역명,구분,사업명,연도,온실가스 감축량(톤),예산(백만원),,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,농축산,친환경 농업,2029,0,0,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,농축산,친환경 농업,2030,0,0,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,농축산,친환경 농업,2034,0,0,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,수송,경유 자동차 폐차지원 사업,2025,1296,26200,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,수송,경유 자동차 폐차지원 사업,2026,1296,26200,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,수송,경유 자동차 폐차지원 사업,2027,1036,20960,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,수송,경유 자동차 폐차지원 사업,2028,1036,20960,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,수송,경유 자동차 폐차지원 사업,2029,1036,18340,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,수송,경유 자동차 폐차지원 사업,2030,1814,18340,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,수송,경유 자동차 폐차지원 사업,2034,0,0,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,수송,동백패스 인센티브 강화,2025,0,65600,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,수송,동백패스 인센티브 강화,2026,0,65600,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,수송,동백패스 인센티브 강화,2027,0,65600,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,수송,동백패스 인센티브 강화,2028,0,65600,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,수송,동백패스 인센티브 강화,2029,0,65600,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,수송,동백패스 인센티브 강화,2030,0,262400,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,수송,동백패스 인센티브 강화,2034,0,0,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,수송,승용차 요일제 활성화,2025,42,0,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,수송,승용차 요일제 활성화,2026,42,0,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,수송,승용차 요일제 활성화,2027,42,0,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,수송,승용차 요일제 활성화,2028,42,0,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,수송,승용차 요일제 활성화,2029,42,0,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,수송,승용차 요일제 활성화,2030,42,0,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,수송,승용차 요일제 활성화,2034,42,0,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,수송,전기자동차 보급(버스),2025,483,0,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,수송,전기자동차 보급(버스),2026,5750,0,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,수송,전기자동차 보급(버스),2027,7022,0,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,수송,전기자동차 보급(버스),2028,7022,0,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,수송,전기자동차 보급(버스),2029,0,0,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,수송,전기자동차 보급(버스),2030,7022,0,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,수송,전기자동차 보급(버스),2034,3511,0,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,수송,전기자동차 보급(승용),2025,985,129640,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,수송,전기자동차 보급(승용),2026,0,873312,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,수송,전기자동차 보급(승용),2027,0,927220,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,수송,전기자동차 보급(승용),2028,0,927220,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,수송,전기자동차 보급(승용),2029,0,1050366,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,수송,전기자동차 보급(승용),2030,0,1421950,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,수송,전기자동차 보급(승용),2034,0,0,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,수송,탄소중립 포인트제(자동차 분야),2025,7,170,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,수송,탄소중립 포인트제(자동차 분야),2026,7,200,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,수송,탄소중립 포인트제(자동차 분야),2027,7,220,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,수송,탄소중립 포인트제(자동차 분야),2028,7,240,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,수송,탄소중립 포인트제(자동차 분야),2029,7,260,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,수송,탄소중립 포인트제(자동차 분야),2030,7,1240,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,수송,탄소중립 포인트제(자동차 분야),2034,7,0,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,전환,산업단지 지붕 태양광 확대,2025,25719,560,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,전환,산업단지 지붕 태양광 확대,2026,42865,700,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,전환,산업단지 지붕 태양광 확대,2027,70299,1120,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,전환,산업단지 지붕 태양광 확대,2028,104591,1400,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,전환,산업단지 지붕 태양광 확대,2029,104591,1610,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,전환,산업단지 지붕 태양광 확대,2030,186892,8120,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,전환,산업단지 지붕 태양광 확대,2034,240045,0,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,전환,서부산권 신재생에너지 자립도시 조성,2025,0,5000,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,전환,서부산권 신재생에너지 자립도시 조성,2026,0,5000,,,,,,,,,,,,,,,,,
