광역,지역명,광역_지역명,구분,사업명,연도,온실가스 감축량(톤),예산(백만원),,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,LED 조명 교체_가로등(권선구),2028,34,125,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,LED 조명 교체_가로등(권선구),2029,34,125,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,LED 조명 교체_가로등(권선구),2030,34,125,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,LED 조명 교체_가로등(권선구),2034,136,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,LED 조명 교체_가로등(팔달구),2025,17,110,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,LED 조명 교체_가로등(팔달구),2026,17,110,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,LED 조명 교체_가로등(팔달구),2027,17,110,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,LED 조명 교체_가로등(팔달구),2028,17,110,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,LED 조명 교체_가로등(팔달구),2029,17,110,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,LED 조명 교체_가로등(팔달구),2030,17,110,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,LED 조명 교체_가로등(팔달구),2034,68,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,LED 조명 교체_가로등(영통구),2025,43,175,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,LED 조명 교체_가로등(영통구),2026,43,180,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,LED 조명 교체_가로등(영통구),2027,43,185,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,LED 조명 교체_가로등(영통구),2028,43,190,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,LED 조명 교체_가로등(영통구),2029,43,195,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,LED 조명 교체_가로등(영통구),2030,43,200,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,LED 조명 교체_가로등(영통구),2034,172,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,민간 녹색건축물 조성 지원사업,2025,167,"3,000",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,민간 녹색건축물 조성 지원사업,2026,167,"3,000",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,민간 녹색건축물 조성 지원사업,2027,167,"3,000",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,민간 녹색건축물 조성 지원사업,2028,167,"3,000",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,민간 녹색건축물 조성 지원사업,2029,167,"3,000",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,민간 녹색건축물 조성 지원사업,2030,167,"3,000",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,민간 녹색건축물 조성 지원사업,2034,668,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,신축 민간건축물 제로에너지빌딩 인증 확대,2025,0,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,신축 민간건축물 제로에너지빌딩 인증 확대,2026,"9,759",0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,신축 민간건축물 제로에너지빌딩 인증 확대,2027,"9,759",0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,신축 민간건축물 제로에너지빌딩 인증 확대,2028,"9,759",0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,신축 민간건축물 제로에너지빌딩 인증 확대,2029,"9,759",0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,신축 민간건축물 제로에너지빌딩 인증 확대,2030,"9,759",0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,신축 민간건축물 제로에너지빌딩 인증 확대,2034,"39,036",0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,건물온실가스총량제 시행,2025,0,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,건물온실가스총량제 시행,2026,0,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,건물온실가스총량제 시행,2027,0,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,건물온실가스총량제 시행,2028,0,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,건물온실가스총량제 시행,2029,0,20,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,건물온실가스총량제 시행,2030,0,20,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,건물온실가스총량제 시행,2034,0,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,저소득층 가구 단열유리창 교체(집수리),2025,162,530,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,저소득층 가구 단열유리창 교체(집수리),2026,162,530,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,저소득층 가구 단열유리창 교체(집수리),2027,162,530,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,저소득층 가구 단열유리창 교체(집수리),2028,162,530,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,저소득층 가구 단열유리창 교체(집수리),2029,162,530,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,저소득층 가구 단열유리창 교체(집수리),2030,162,530,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,저소득층 가구 단열유리창 교체(집수리),2034,648,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,도시가스 공급확대,2025,2,971,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,도시가스 공급확대,2026,2,"1,000",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,도시가스 공급확대,2027,2,"1,000",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,도시가스 공급확대,2028,2,"1,000",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,도시가스 공급확대,2029,2,"1,000",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,도시가스 공급확대,2030,2,"1,000",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,도시가스 공급확대,2034,8,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,친환경(저녹스) 보일러 지원사업,2025,68,77,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,친환경(저녹스) 보일러 지원사업,2026,68,77,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,친환경(저녹스) 보일러 지원사업,2027,68,77,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,친환경(저녹스) 보일러 지원사업,2028,68,77,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,친환경(저녹스) 보일러 지원사업,2029,68,77,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,친환경(저녹스) 보일러 지원사업,2030,68,77,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,친환경(저녹스) 보일러 지원사업,2034,272,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,새빛하우스 지원사업(집수리 지원사업),2025,631,"5,500",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,새빛하우스 지원사업(집수리 지원사업),2026,628,"6,000",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,새빛하우스 지원사업(집수리 지원사업),2027,631,"6,500",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,새빛하우스 지원사업(집수리 지원사업),2028,631,"7,000",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,새빛하우스 지원사업(집수리 지원사업),2029,631,"7,500",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,새빛하우스 지원사업(집수리 지원사업),2030,631,"8,000",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,새빛하우스 지원사업(집수리 지원사업),2034,"2,524",0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,물 재이용 확대_빗물,2025,1,"1,313",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,물 재이용 확대_빗물,2026,1,"1,362",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,물 재이용 확대_빗물,2027,1,"1,420",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,물 재이용 확대_빗물,2028,1,"1,477",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,물 재이용 확대_빗물,2029,1,"1,536",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,물 재이용 확대_빗물,2030,1,"1,597",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,물 재이용 확대_빗물,2034,4,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,중수도 이용 확대,2025,0,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,중수도 이용 확대,2026,4,"3,699",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,중수도 이용 확대,2027,0,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,중수도 이용 확대,2028,18,"14,974",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,중수도 이용 확대,2029,0,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,중수도 이용 확대,2030,10,"7,813",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,중수도 이용 확대,2034,0,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,상수도 누수관 정비 사업(노후관 교체),2025,1,"5,320",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,상수도 누수관 정비 사업(노후관 교체),2026,3,"5,350",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,상수도 누수관 정비 사업(노후관 교체),2027,3,"5,350",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,상수도 누수관 정비 사업(노후관 교체),2028,3,"5,350",,,,,,,,,,,,,,,,,,
