광역,지역명,광역_지역명,구분,사업명,연도,온실가스 감축량(톤),예산(백만원),,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,거제시 에코드라이빙 마일리지 제도 도입,2028,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,거제시 에코드라이빙 마일리지 제도 도입,2029,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,거제시 에코드라이빙 마일리지 제도 도입,2030,534,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,거제시 에코드라이빙 마일리지 제도 도입,2034,1453,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,관용차 활용 공유전기차 도입 확대,2025,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,관용차 활용 공유전기차 도입 확대,2026,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,관용차 활용 공유전기차 도입 확대,2027,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,관용차 활용 공유전기차 도입 확대,2028,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,관용차 활용 공유전기차 도입 확대,2029,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,관용차 활용 공유전기차 도입 확대,2030,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,관용차 활용 공유전기차 도입 확대,2034,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,내연기관 자동차 신규등록 제한,2025,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,내연기관 자동차 신규등록 제한,2026,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,내연기관 자동차 신규등록 제한,2027,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,내연기관 자동차 신규등록 제한,2028,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,내연기관 자동차 신규등록 제한,2029,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,내연기관 자동차 신규등록 제한,2030,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,내연기관 자동차 신규등록 제한,2034,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,내연기관 자동차 운행 제한,2025,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,내연기관 자동차 운행 제한,2026,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,내연기관 자동차 운행 제한,2027,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,내연기관 자동차 운행 제한,2028,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,내연기관 자동차 운행 제한,2029,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,내연기관 자동차 운행 제한,2030,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,내연기관 자동차 운행 제한,2034,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,수소 충전소 확대,2025,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,수소 충전소 확대,2026,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,수소 충전소 확대,2027,0,13000,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,수소 충전소 확대,2028,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,수소 충전소 확대,2029,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,수소 충전소 확대,2030,0,13000,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,수소 충전소 확대,2034,0,13000,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,수소전기자동차 보급,2025,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,수소전기자동차 보급,2026,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,수소전기자동차 보급,2027,42,1490,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,수소전기자동차 보급,2028,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,수소전기자동차 보급,2029,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,수소전기자동차 보급,2030,97,1490,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,수소전기자동차 보급,2034,189,1490,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,시내버스 교통비 지원사업,2025,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,시내버스 교통비 지원사업,2026,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,시내버스 교통비 지원사업,2027,0,3720,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,시내버스 교통비 지원사업,2028,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,시내버스 교통비 지원사업,2029,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,시내버스 교통비 지원사업,2030,0,3720,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,시내버스 교통비 지원사업,2034,0,3720,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,자동차 탄소중립포인트제 확대,2025,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,자동차 탄소중립포인트제 확대,2026,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,자동차 탄소중립포인트제 확대,2027,400,72,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,자동차 탄소중립포인트제 확대,2028,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,자동차 탄소중립포인트제 확대,2029,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,자동차 탄소중립포인트제 확대,2030,934,82,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,자동차 탄소중립포인트제 확대,2034,1854,144,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,자전거 이용 활성화,2025,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,자전거 이용 활성화,2026,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,자전거 이용 활성화,2027,0,324,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,자전거 이용 활성화,2028,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,자전거 이용 활성화,2029,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,자전거 이용 활성화,2030,0,360,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,자전거 이용 활성화,2034,0,520,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,전기자동차 보급,2025,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,전기자동차 보급,2026,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,전기자동차 보급,2027,5769,33450,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,전기자동차 보급,2028,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,전기자동차 보급,2029,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,전기자동차 보급,2030,12227,33450,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,전기자동차 보급,2034,18788,44600,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,전기차 충전소 확대,2025,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,전기차 충전소 확대,2026,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,전기차 충전소 확대,2027,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,전기차 충전소 확대,2028,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,전기차 충전소 확대,2029,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,전기차 충전소 확대,2030,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,전기차 충전소 확대,2034,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,친환경 연안 선박 전환 지원 시행,2025,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,친환경 연안 선박 전환 지원 시행,2026,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,친환경 연안 선박 전환 지원 시행,2027,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,친환경 연안 선박 전환 지원 시행,2028,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,친환경 연안 선박 전환 지원 시행,2029,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,친환경 연안 선박 전환 지원 시행,2030,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,친환경 연안 선박 전환 지원 시행,2034,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,전환,신재생에너지 건물 지원 사업,2025,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,전환,신재생에너지 건물 지원 사업,2026,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,전환,신재생에너지 건물 지원 사업,2027,150,100,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,전환,신재생에너지 건물 지원 사업,2028,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,전환,신재생에너지 건물 지원 사업,2029,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,전환,신재생에너지 건물 지원 사업,2030,288,120,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,전환,신재생에너지 건물 지원 사업,2034,564,240,,,,,,,,,,,,,,,,
