광역,지역명,광역_지역명,구분,사업명,연도,온실가스 감축량(톤),예산(백만원),,,,,,,,,,,,,,,,,
인천,강화군,강화군,농축산,농업에너지이용 효율화,2029,225,196,,,,,,,,,,,,,,,,,
인천,강화군,강화군,농축산,농업에너지이용 효율화,2030,270,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,농축산,농업에너지이용 효율화,2034,450,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,농축산,영농부산물 처리 지원사업,2025,0,196,,,,,,,,,,,,,,,,,
인천,강화군,강화군,농축산,영농부산물 처리 지원사업,2026,0,196,,,,,,,,,,,,,,,,,
인천,강화군,강화군,농축산,영농부산물 처리 지원사업,2027,0,196,,,,,,,,,,,,,,,,,
인천,강화군,강화군,농축산,영농부산물 처리 지원사업,2028,0,196,,,,,,,,,,,,,,,,,
인천,강화군,강화군,농축산,영농부산물 처리 지원사업,2029,0,196,,,,,,,,,,,,,,,,,
인천,강화군,강화군,농축산,영농부산물 처리 지원사업,2030,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,농축산,영농부산물 처리 지원사업,2034,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,농축산,"저메탄, 저단백질 사료 보급",2025,1,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,농축산,"저메탄, 저단백질 사료 보급",2026,1,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,농축산,"저메탄, 저단백질 사료 보급",2027,1,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,농축산,"저메탄, 저단백질 사료 보급",2028,1,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,농축산,"저메탄, 저단백질 사료 보급",2029,1,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,농축산,"저메탄, 저단백질 사료 보급",2030,1,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,농축산,"저메탄, 저단백질 사료 보급",2034,1,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,수송,공무용차량 탄소중립 추진(승용차),2025,38,565,,,,,,,,,,,,,,,,,
인천,강화군,강화군,수송,공무용차량 탄소중립 추진(승용차),2026,47,645,,,,,,,,,,,,,,,,,
인천,강화군,강화군,수송,공무용차량 탄소중립 추진(승용차),2027,56,750,,,,,,,,,,,,,,,,,
인천,강화군,강화군,수송,공무용차량 탄소중립 추진(승용차),2028,68,750,,,,,,,,,,,,,,,,,
인천,강화군,강화군,수송,공무용차량 탄소중립 추진(승용차),2029,76,750,,,,,,,,,,,,,,,,,
인천,강화군,강화군,수송,공무용차량 탄소중립 추진(승용차),2030,167,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,수송,공무용차량 탄소중립 추진(승용차),2034,306,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,수송,공무용차량 탄소중립 추진(화물차),2025,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,수송,공무용차량 탄소중립 추진(화물차),2026,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,수송,공무용차량 탄소중립 추진(화물차),2027,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,수송,공무용차량 탄소중립 추진(화물차),2028,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,수송,공무용차량 탄소중립 추진(화물차),2029,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,수송,공무용차량 탄소중립 추진(화물차),2030,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,수송,공무용차량 탄소중립 추진(화물차),2034,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,수송,보행자가 편한 인도 조성 사업,2025,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,수송,보행자가 편한 인도 조성 사업,2026,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,수송,보행자가 편한 인도 조성 사업,2027,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,수송,보행자가 편한 인도 조성 사업,2028,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,수송,보행자가 편한 인도 조성 사업,2029,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,수송,보행자가 편한 인도 조성 사업,2030,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,수송,보행자가 편한 인도 조성 사업,2034,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,수송,승용차 선택요일제 활성화(참여자수),2025,206,2,,,,,,,,,,,,,,,,,
인천,강화군,강화군,수송,승용차 선택요일제 활성화(참여자수),2026,206,2,,,,,,,,,,,,,,,,,
인천,강화군,강화군,수송,승용차 선택요일제 활성화(참여자수),2027,206,2,,,,,,,,,,,,,,,,,
인천,강화군,강화군,수송,승용차 선택요일제 활성화(참여자수),2028,206,3,,,,,,,,,,,,,,,,,
인천,강화군,강화군,수송,승용차 선택요일제 활성화(참여자수),2029,206,3,,,,,,,,,,,,,,,,,
인천,강화군,강화군,수송,승용차 선택요일제 활성화(참여자수),2030,412,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,수송,승용차 선택요일제 활성화(참여자수),2034,618,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,수송,승용차 선택요일제 활성화(탄소포인트 마일리지제도 참여 대수),2025,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,수송,승용차 선택요일제 활성화(탄소포인트 마일리지제도 참여 대수),2026,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,수송,승용차 선택요일제 활성화(탄소포인트 마일리지제도 참여 대수),2027,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,수송,승용차 선택요일제 활성화(탄소포인트 마일리지제도 참여 대수),2028,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,수송,승용차 선택요일제 활성화(탄소포인트 마일리지제도 참여 대수),2029,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,수송,승용차 선택요일제 활성화(탄소포인트 마일리지제도 참여 대수),2030,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,수송,승용차 선택요일제 활성화(탄소포인트 마일리지제도 참여 대수),2034,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,수송,자동차 공회전 제한 및 배출가스 점검(공회전),2025,0,500,,,,,,,,,,,,,,,,,
인천,강화군,강화군,수송,자동차 공회전 제한 및 배출가스 점검(공회전),2026,0,500,,,,,,,,,,,,,,,,,
인천,강화군,강화군,수송,자동차 공회전 제한 및 배출가스 점검(공회전),2027,0,500,,,,,,,,,,,,,,,,,
인천,강화군,강화군,수송,자동차 공회전 제한 및 배출가스 점검(공회전),2028,0,500,,,,,,,,,,,,,,,,,
인천,강화군,강화군,수송,자동차 공회전 제한 및 배출가스 점검(공회전),2029,0,500,,,,,,,,,,,,,,,,,
인천,강화군,강화군,수송,자동차 공회전 제한 및 배출가스 점검(공회전),2030,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,수송,자동차 공회전 제한 및 배출가스 점검(공회전),2034,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,수송,자동차 공회전 제한 및 배출가스 점검(배출가스),2025,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,수송,자동차 공회전 제한 및 배출가스 점검(배출가스),2026,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,수송,자동차 공회전 제한 및 배출가스 점검(배출가스),2027,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,수송,자동차 공회전 제한 및 배출가스 점검(배출가스),2028,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,수송,자동차 공회전 제한 및 배출가스 점검(배출가스),2029,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,수송,자동차 공회전 제한 및 배출가스 점검(배출가스),2030,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,수송,자동차 공회전 제한 및 배출가스 점검(배출가스),2034,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,수송,전기자동차 충전시설 확충,2025,0,100,,,,,,,,,,,,,,,,,
인천,강화군,강화군,수송,전기자동차 충전시설 확충,2026,0,100,,,,,,,,,,,,,,,,,
인천,강화군,강화군,수송,전기자동차 충전시설 확충,2027,0,100,,,,,,,,,,,,,,,,,
인천,강화군,강화군,수송,전기자동차 충전시설 확충,2028,0,100,,,,,,,,,,,,,,,,,
인천,강화군,강화군,수송,전기자동차 충전시설 확충,2029,0,100,,,,,,,,,,,,,,,,,
인천,강화군,강화군,수송,전기자동차 충전시설 확충,2030,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,수송,전기자동차 충전시설 확충,2034,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,전환,공공건축물 신재생에너지 도입(태양광),2025,130,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,전환,공공건축물 신재생에너지 도입(태양광),2026,130,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,전환,공공건축물 신재생에너지 도입(태양광),2027,130,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,전환,공공건축물 신재생에너지 도입(태양광),2028,130,0,,,,,,,,,,,,,,,,,
