광역,지역명,광역_지역명,구분,사업명,연도,온실가스 감축량(톤),예산(백만원),,,,,,,,,,,,,,,,
울산,남구,울산 남구,건물,해상풍력발전단지 조성사업,2029,0,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,건물,해상풍력발전단지 조성사업,2030,380400,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,건물,해상풍력발전단지 조성사업,2034,1521600,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,농축산,논물관리,2025,0,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,농축산,논물관리,2026,0,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,농축산,논물관리,2027,0,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,농축산,논물관리,2028,0,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,농축산,논물관리,2029,305,47,,,,,,,,,,,,,,,,
울산,남구,울산 남구,농축산,논물관리,2030,305,47,,,,,,,,,,,,,,,,
울산,남구,울산 남구,농축산,논물관리,2034,1220,186,,,,,,,,,,,,,,,,
울산,남구,울산 남구,농축산,친환경 비료 사용 등 친환경 농업 확대,2025,1,42,,,,,,,,,,,,,,,,
울산,남구,울산 남구,농축산,친환경 비료 사용 등 친환경 농업 확대,2026,1,42,,,,,,,,,,,,,,,,
울산,남구,울산 남구,농축산,친환경 비료 사용 등 친환경 농업 확대,2027,1,44,,,,,,,,,,,,,,,,
울산,남구,울산 남구,농축산,친환경 비료 사용 등 친환경 농업 확대,2028,1,44,,,,,,,,,,,,,,,,
울산,남구,울산 남구,농축산,친환경 비료 사용 등 친환경 농업 확대,2029,1,46,,,,,,,,,,,,,,,,
울산,남구,울산 남구,농축산,친환경 비료 사용 등 친환경 농업 확대,2030,1,10,,,,,,,,,,,,,,,,
울산,남구,울산 남구,농축산,친환경 비료 사용 등 친환경 농업 확대,2034,4,38,,,,,,,,,,,,,,,,
울산,남구,울산 남구,농축산,폐영농자재 수거지원사업,2025,322,17,,,,,,,,,,,,,,,,
울산,남구,울산 남구,농축산,폐영농자재 수거지원사업,2026,483,17,,,,,,,,,,,,,,,,
울산,남구,울산 남구,농축산,폐영농자재 수거지원사업,2027,644,17,,,,,,,,,,,,,,,,
울산,남구,울산 남구,농축산,폐영농자재 수거지원사업,2028,804,17,,,,,,,,,,,,,,,,
울산,남구,울산 남구,농축산,폐영농자재 수거지원사업,2029,965,17,,,,,,,,,,,,,,,,
울산,남구,울산 남구,농축산,폐영농자재 수거지원사업,2030,1609,17,,,,,,,,,,,,,,,,
울산,남구,울산 남구,농축산,폐영농자재 수거지원사업,2034,0,68,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,고효율 친환경 타이어 이점 홍보,2025,0,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,고효율 친환경 타이어 이점 홍보,2026,0,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,고효율 친환경 타이어 이점 홍보,2027,0,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,고효율 친환경 타이어 이점 홍보,2028,0,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,고효율 친환경 타이어 이점 홍보,2029,0,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,고효율 친환경 타이어 이점 홍보,2030,0,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,고효율 친환경 타이어 이점 홍보,2034,0,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,관용차량(경유) 전기차 전환,2025,5,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,관용차량(경유) 전기차 전환,2026,7,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,관용차량(경유) 전기차 전환,2027,7,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,관용차량(경유) 전기차 전환,2028,7,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,관용차량(경유) 전기차 전환,2029,9,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,관용차량(경유) 전기차 전환,2030,11,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,관용차량(경유) 전기차 전환,2034,42,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,관용차량(버스) 수소차 도입,2025,0,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,관용차량(버스) 수소차 도입,2026,0,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,관용차량(버스) 수소차 도입,2027,36,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,관용차량(버스) 수소차 도입,2028,36,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,관용차량(버스) 수소차 도입,2029,36,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,관용차량(버스) 수소차 도입,2030,36,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,관용차량(버스) 수소차 도입,2034,146,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,관용차량(버스) 전기차 교체,2025,0,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,관용차량(버스) 전기차 교체,2026,44,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,관용차량(버스) 전기차 교체,2027,88,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,관용차량(버스) 전기차 교체,2028,88,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,관용차량(버스) 전기차 교체,2029,88,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,관용차량(버스) 전기차 교체,2030,88,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,관용차량(버스) 전기차 교체,2034,351,0,,,,,,,,,,,,,,,,
