광역,지역명,광역_지역명,구분,사업명,연도,온실가스 감축량(톤),예산(백만원),,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,수송,수소 버스 보급확대,2030,2001,0,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,수송,수소 버스 보급확대,2034,2729,0,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,수송,수소 승용차 보급확대,2025,225,0,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,수송,수소 승용차 보급확대,2026,281,0,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,수송,수소 승용차 보급확대,2027,336,0,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,수송,수소 승용차 보급확대,2028,391,0,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,수송,수소 승용차 보급확대,2029,447,0,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,수송,수소 승용차 보급확대,2030,502,0,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,수송,수소 승용차 보급확대,2034,724,0,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,수송,자동차 탄소포인트제 시행,2025,194,31,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,수송,자동차 탄소포인트제 시행,2026,194,31,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,수송,자동차 탄소포인트제 시행,2027,194,31,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,수송,자동차 탄소포인트제 시행,2028,194,31,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,수송,자동차 탄소포인트제 시행,2029,194,31,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,수송,자동차 탄소포인트제 시행,2030,194,0,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,수송,자동차 탄소포인트제 시행,2034,194,0,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,수송,자전거 도로 인프라 구축,2025,756,250,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,수송,자전거 도로 인프라 구축,2026,760,250,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,수송,자전거 도로 인프라 구축,2027,763,250,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,수송,자전거 도로 인프라 구축,2028,767,250,,,,,,,,,,,,,,,,,,
