광역,지역명,광역_지역명,구분,사업명,연도,온실가스 감축량(톤),예산(백만원),,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,빗물이용시설 설치,2026,0,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,빗물이용시설 설치,2027,0,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,빗물이용시설 설치,2028,0,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,빗물이용시설 설치,2029,0,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,빗물이용시설 설치,2030,0,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,빗물이용시설 설치,2034,1,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,상가 LED간판 교체,2025,9,375,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,상가 LED간판 교체,2026,13,500,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,상가 LED간판 교체,2027,16,625,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,상가 LED간판 교체,2028,19,750,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,상가 LED간판 교체,2029,19,750,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,상가 LED간판 교체,2030,19,750,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,상가 LED간판 교체,2034,75,3000,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,새빛주택 지원,2025,1,7,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,새빛주택 지원,2026,1,7,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,새빛주택 지원,2027,1,7,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,새빛주택 지원,2028,1,7,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,새빛주택 지원,2029,1,7,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,새빛주택 지원,2030,1,7,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,새빛주택 지원,2034,3,30,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,신축 공공건축물 연차별 ZEB 시행(4등급),2025,0,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,신축 공공건축물 연차별 ZEB 시행(4등급),2026,0,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,신축 공공건축물 연차별 ZEB 시행(4등급),2027,0,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,신축 공공건축물 연차별 ZEB 시행(4등급),2028,0,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,신축 공공건축물 연차별 ZEB 시행(4등급),2029,0,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,신축 공공건축물 연차별 ZEB 시행(4등급),2030,0,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,신축 공공건축물 연차별 ZEB 시행(4등급),2034,669,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,신축 공공건축물 연차별 ZEB 시행(5등급),2025,84,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,신축 공공건축물 연차별 ZEB 시행(5등급),2026,251,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,신축 공공건축물 연차별 ZEB 시행(5등급),2027,167,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,신축 공공건축물 연차별 ZEB 시행(5등급),2028,84,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,신축 공공건축물 연차별 ZEB 시행(5등급),2029,84,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,신축 공공건축물 연차별 ZEB 시행(5등급),2030,84,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,신축 공공건축물 연차별 ZEB 시행(5등급),2034,0,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,안심집수리 지원,2025,0,6,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,안심집수리 지원,2026,0,6,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,안심집수리 지원,2027,0,6,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,안심집수리 지원,2028,0,6,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,안심집수리 지원,2029,0,6,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,안심집수리 지원,2030,0,6,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,안심집수리 지원,2034,2,24,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,에너지다소비건물 온실가스 배출량 공개(공개율),2025,0,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,에너지다소비건물 온실가스 배출량 공개(공개율),2026,0,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,에너지다소비건물 온실가스 배출량 공개(공개율),2027,0,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,에너지다소비건물 온실가스 배출량 공개(공개율),2028,0,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,에너지다소비건물 온실가스 배출량 공개(공개율),2029,0,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,에너지다소비건물 온실가스 배출량 공개(공개율),2030,0,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,에너지다소비건물 온실가스 배출량 공개(공개율),2034,0,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,온실가스 진단·컨설팅(가정),2025,0,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,온실가스 진단·컨설팅(가정),2026,96,10,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,온실가스 진단·컨설팅(가정),2027,193,20,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,온실가스 진단·컨설팅(가정),2028,193,20,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,온실가스 진단·컨설팅(가정),2029,193,20,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,온실가스 진단·컨설팅(가정),2030,289,30,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,온실가스 진단·컨설팅(가정),2034,1284,133,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,온실가스 진단·컨설팅(다중이용건축물),2025,0,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,온실가스 진단·컨설팅(다중이용건축물),2026,0,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,온실가스 진단·컨설팅(다중이용건축물),2027,0,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,온실가스 진단·컨설팅(다중이용건축물),2028,0,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,온실가스 진단·컨설팅(다중이용건축물),2029,0,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,온실가스 진단·컨설팅(다중이용건축물),2030,0,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,온실가스 진단·컨설팅(다중이용건축물),2034,0,0,,,,,,,,,,,,,,,,,,,,
